Model,accuracy,precision,recall,f1
Random Forest,0.9986363636363637,0.994661921708185,1.0,0.9973238180196253
SVM,0.9993181818181818,0.9973238180196253,1.0,0.9986601161232693
XGBoost,0.9984090909090909,0.9937777777777778,1.0,0.9968791796700847
